experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,precision,20,0.15205647042792445,0.12943749170199462,0.10255758368877957,19,0,1
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,recall,20,-0.32956732692787244,-0.3451825455282651,0.07662325348656758,0,0,20
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,specificity,20,0.04143870589125095,0.03421052258534202,0.020158389459752356,20,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,accuracy,28,0.01680899649649647,0.016039998331664918,0.0092545039318266,26,0,2
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,balanced_accuracy,28,-0.23247112781735166,-0.23679782856964232,0.022950164122003916,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,dice,28,-0.2631407349178068,-0.2600727629957615,0.06810486904258398,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,f1_score,28,-0.2631407349178068,-0.2600727629957615,0.06810486904258398,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,iou,28,-0.21045652563231496,-0.20526193094586032,0.05222592137570947,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,precision,28,0.22212995686725986,0.21537652720781814,0.09806268448618112,28,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,recall,28,-0.5216543091823597,-0.5312666269536345,0.04675880540263774,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,specificity,28,0.05671205354765629,0.0565514353956168,0.0058888119813723504,28,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,accuracy,28,0.013070734424901096,0.011875938438438427,0.00973946269841737,26,0,2
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.23352717498601822,-0.23824152913249474,0.022652454274088272,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,dice,28,-0.27404855874649037,-0.27127446627033,0.06894762369971794,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,f1_score,28,-0.27404855874649037,-0.27127446627033,0.06894762369971794,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,iou,28,-0.2209465595114662,-0.21574642014588435,0.0534866858715785,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,precision,28,0.2058451111358852,0.19851123286109873,0.09824541187162489,28,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,recall,28,-0.5195779735557975,-0.5301097091126054,0.047050802171131716,0,0,28
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,CA-APSRG,specificity,28,0.052523623583760934,0.05033362791453222,0.006239869690420781,28,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,accuracy,20,-0.0331084659905308,-0.03802769573663484,0.0228584468099859,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,balanced_accuracy,20,-0.2332344015985203,-0.2353319033136521,0.03364496414467631,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,dice,20,-0.39068694590240144,-0.4140203648988394,0.0966745319816905,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,f1_score,20,-0.39068694590240144,-0.4140203648988394,0.0966745319816905,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,iou,20,-0.35508313164199046,-0.380540188297252,0.08857958359709803,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,precision,20,0.09509683847143231,0.0396331937364941,0.14490208608596142,12,0,8
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,recall,20,-0.4997473936605753,-0.5084448216979432,0.06663958342061974,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,specificity,20,0.03327859046353468,0.028395519722759388,0.016998974815347633,20,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,accuracy,20,-0.03342295903092642,-0.03791776751869136,0.022553848040783964,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,balanced_accuracy,20,-0.2328851718525738,-0.23514767054052593,0.03357296238905148,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,dice,20,-0.39139783958903557,-0.41341856314826475,0.09602440554919145,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,f1_score,20,-0.39139783958903557,-0.41341856314826475,0.09602440554919145,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,iou,20,-0.35565271531982273,-0.3796619589585131,0.08784170130993847,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,precision,20,0.0931707818795037,0.03826358193006596,0.1444420585391261,12,0,8
