comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,recall,20,-0.29443878561789893,-0.2969960165989106,0.07886239313699031
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,APSRG,specificity,20,0.012966263817574708,0.012909700046583594,0.006917322164061751
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,accuracy,20,-0.010891145218418007,-0.011064935064935166,0.008906559340383263
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,balanced_accuracy,20,-0.14072338981503912,-0.1391067132012635,0.037490829182491185
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,dice,20,-0.26032412892645096,-0.26946038489505597,0.08652967993303974
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,f1_score,20,-0.26032412892645096,-0.26946038489505597,0.08652967993303974
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,iou,20,-0.21447724125262785,-0.21109773564233636,0.07067394915246511
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,precision,20,0.09288677096600892,0.11325881441680596,0.15533624612463806
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,recall,20,-0.294411180976668,-0.29689146056994853,0.07884732286925207
r02_selective77_radius1_bfs_to_r03_edge_region_mean,r02_selective77_radius1_bfs,r03_edge_region_mean,STARE,CA-APSRG,specificity,20,0.012964401346589794,0.012911820003055408,0.006919493068624738
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,accuracy,28,0.008395449020449046,0.009004316816816738,0.007825818802494845
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,balanced_accuracy,28,0.20075365532591025,0.20927142392582776,0.03355954719817105
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,dice,28,0.3178112849820448,0.327455306419599,0.06594694106363651
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,f1_score,28,0.3178112849820448,0.327455306419599,0.06594694106363651
