experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,recall,20,-0.17909230888246624,-0.1756930648865943,0.05268596734725442,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,APSRG,specificity,20,-0.012748075884042365,-0.01597492754113422,0.014443123632835075,5,0,15
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,accuracy,20,-0.022495867768595062,-0.025654073199527727,0.014372309368182413,1,0,19
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,balanced_accuracy,20,-0.0945461080735261,-0.09310475726441708,0.029913847537610012,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,dice,20,-0.13039515913478913,-0.13579117549660874,0.06327929047432579,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,f1_score,20,-0.13039515913478913,-0.13579117549660874,0.06327929047432579,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,iou,20,-0.13622636285913936,-0.1420299906292194,0.07371818859065904,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,precision,20,-0.10609660868025968,-0.10720510597308555,0.06431860456676709,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,recall,20,-0.1796412759481456,-0.175254588591719,0.05253294673091693,0,0,20
a03_fuzzy_srg_bfs,A03 - Fuzzy SRG seeds with BFS,STARE,CA-APSRG,specificity,20,-0.0094509401989066,-0.010362779115727527,0.01071506688025074,5,0,15
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,accuracy,28,0.019996931455264762,0.020901109442776122,0.0087678404751964,27,0,1
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,balanced_accuracy,28,-0.1796860424476965,-0.18106503613552827,0.049061958830413595,0,0,28
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,dice,28,-0.1580754427217425,-0.17767275163812812,0.11650473026858164,3,0,25
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,f1_score,28,-0.1580754427217425,-0.17767275163812812,0.11650473026858164,3,0,25
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,iou,28,-0.13028597848937093,-0.15000543314645182,0.09271850507343977,3,0,25
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,precision,28,0.20946140330301571,0.2206538469588408,0.06333594881792964,28,0,0
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,recall,28,-0.41193702123906834,-0.4138835814911461,0.10090972815760395,0,0,28
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,APSRG,specificity,28,0.05256493634367532,0.05354300506348736,0.005977953416616602,28,0,0
a04_selective_hybrid_bfs,A04 - Selective fuzzy-Harris seeds with BFS,CHASEDB1,CA-APSRG,accuracy,28,0.016261871991038672,0.01628868451785126,0.009121784140603321,27,0,1
