experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,f1_score,20,-0.14060719246719358,-0.13942391344002442,0.056806909781664645,0,0,20,0.0,1.9073486328125e-06,-0.16449008377601596,-0.11632974707143015
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,f1_score,20,-0.07009881117567038,-0.0902363572034729,0.1100592460699375,3,0,17,35.0,0.0072956085205078125,-0.11435933708023178,-0.019119618298371215
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,iou,28,-0.014111330485572848,-0.022662231768816515,0.05828686461200186,10,0,18,144.0,0.18578492105007172,-0.034636467554842836,0.007419650746299266
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,iou,20,-0.1507443523580797,-0.1586422029431429,0.06126162770973498,0,0,20,0.0,1.9073486328125e-06,-0.1765527101949815,-0.1244824312946066
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,iou,20,-0.07965956287909913,-0.10051216578930633,0.11094871295607209,3,0,17,31.0,0.0042209625244140625,-0.12476460777400857,-0.03184547395832656
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,balanced_accuracy,28,-0.10336924107734559,-0.108789102581409,0.03054399357549824,0,0,28,0.0,7.450580596923828e-09,-0.11451044974246023,-0.09193313176835186
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,balanced_accuracy,20,-0.11524161087323485,-0.11075123702772643,0.027563387979523506,0,0,20,0.0,1.9073486328125e-06,-0.1272353679463578,-0.10409418098398247
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,balanced_accuracy,20,-0.14337813132022634,-0.15229388796269572,0.04283562900263908,0,0,20,0.0,1.9073486328125e-06,-0.16120678126195231,-0.12444911033636688
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,APSRG,dice,28,-0.01668860212005279,-0.024026269398772004,0.06292195493843922,10,0,18,140.0,0.156909741461277,-0.03841026519142757,0.00661774959739211
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,APSRG,dice,20,-0.14060719246719358,-0.13942391344002442,0.056806909781664645,0,0,20,0.0,1.9073486328125e-06,-0.1644955671619823,-0.11527259717194743
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,APSRG,dice,20,-0.07009881117567038,-0.0902363572034729,0.1100592460699375,3,0,17,35.0,0.0072956085205078125,-0.11343137095226252,-0.021707577120090797
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,accuracy,28,0.02223830973830975,0.020032011177844422,0.006925486401275568,28,0,0,0.0,7.450580596923828e-09,0.019777402960996754,0.024847328727537137
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,accuracy,20,-0.01231673924791602,-0.016783738664899128,0.01430083165326159,3,0,17,27.0,0.0023250579833984375,-0.017920972673943145,-0.005946590565535634
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,accuracy,20,0.013207792207792207,0.005740259740259823,0.0249138934486598,13,0,7,56.0,0.069580078125,0.0031176328217237498,0.024242154663518308
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,precision,28,0.19985483030867343,0.21208408163426679,0.0418228589215831,28,0,0,0.0,7.450580596923828e-09,0.18404593012531734,0.2144404901123254
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,precision,20,0.06013036126264541,0.055873432161331504,0.06608957417576317,15,0,5,23.0,0.001209259033203125,0.033094823879633264,0.08894542270574093
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,precision,20,0.15205647042792445,0.12943749170199462,0.10255758368877957,19,0,1,1.0,3.814697265625e-06,0.11021761190554222,0.19678568991913747
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,recall,28,-0.2516798219847394,-0.2631792102549281,0.06084012753788459,0,0,28,0.0,7.450580596923828e-09,-0.2731881804409993,-0.22974046884675006
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,recall,20,-0.2509478703799565,-0.2408643726601393,0.05696839519490054,0,0,20,0.0,1.9073486328125e-06,-0.27633260284804034,-0.2274025107431742
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,recall,20,-0.32956732692787244,-0.3451825455282651,0.0766232534865676,0,0,20,0.0,1.9073486328125e-06,-0.361751649915161,-0.29723999346059654
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,specificity,28,0.04283141103340556,0.043618800997779206,0.004085556398988482,28,0,0,0.0,7.450580596923828e-09,0.04135441790391117,0.04434083299386985
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,specificity,20,0.021395968907210145,0.021167045541838736,0.012664461552934153,20,0,0,0.0,1.9073486328125e-06,0.016265642719177725,0.02713717596700508
