dataset,image_id,image_path,value,experiment,experiment_label,output_method,metric
DRIVE,39,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\39_training.png,0.7527989916215615,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
DRIVE,40,E:\ca_apsrg_retinal_project\data\working_png\DRIVE\DRIVE\training\images\40_training.png,0.7679047814487995,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0001,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0001.png,0.4782061148814104,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0002,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0002.png,0.4090510731134274,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0003,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0003.png,0.3883003833153949,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0004,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0004.png,0.4177973505446895,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0005,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0005.png,0.5647858884486437,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0044,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0044.png,0.5256373590455957,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0077,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0077.png,0.6519340703338746,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0081,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0081.png,0.5674118231495281,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0082,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0082.png,0.6725866513892867,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
STARE,im0139,E:\ca_apsrg_retinal_project\data\working_png\STARE\stare\pngdata\im0139.png,0.5659337318877292,r00_legacy_polling_bfs,R00 - Legacy percentile-polling seeds with BFS,APSRG,precision
